THEO DÕI DOANH THU P.TMĐT 2026,,,,,,,,,,,,,,,,,
,Phòng TMĐT,Tổng thực hiện về Ban,"14,274,248,560",,,,,,,,,,,,,,
,,Tổng kế hoạch về Ban,"50,000,000,000",,,,,,,,,,,,,,
,,Tỷ lệ hoàn thành,28.55%,,,,,,,,,,,,,,
,,,"2,043,358,506","1,816,977,241","2,381,140,917","2,116,520,839","1,910,850,272","1,815,973,823","2,100,121,468",0,0,0,0,  -   ,,,
STT,Dự án,,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11 ,Tháng 12,Tổng cộng,,
I,HẰNG,,,,,,,,,,,,,,,,
1,TripCARE,Thực hiện,,,,,,,,,,,,,0,,
,,Về Ban (40%),,,,,,,,,,,,,0,,
,,Kế hoạch về Ban,,,,,,,,,,,,,0,,
,,Tỷ lệ hoàn thành,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
2,wBooking ,Thực hiện (BH HIO gói Ngày),,,,,,,,,,,,,0,,
,,Về Ban (45%),,,,,,,,,,,,,0,,
,,Thực hiện (BH HIO Hiện vật),,,,,,,,,,,,,0,,
,,Về Ban (30%),,,,,,,,,,,,,0,,
,,Tổng doanh thu,,,,,,,,,,,,,0,,
,,Tổng về Ban,,,,,,,,,,,,,0,,
,,Kế hoạch về Ban,,,,,,,,,,,,,0,,
,,Tỷ lệ hoàn thành,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3,BambooCARE,Thực hiện,,,,,,,,,,,,,0,,
,,Về Ban (70%),,,,,,,,,,,,,0,,
,,Kế hoạch về Ban,,,,,,,,,,,,,0,,
,,Tỷ lệ hoàn thành,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
4,TLS,Thực hiện,,,,,,,,,,,,,0,,
,,Về Ban (50%),,,,,,,,,,,,,0,,
,,Kế hoạch về Ban,,,,,,,,,,,,,0,,
